lg	contig	position	cM
1	Chr_01	2944298	10.589
1	Chr_01	3035412	10.589
1	Chr_01	3052797	10.589
1	Chr_01	3030140	10.589
1	Chr_01	3061968	10.589
1	Chr_01	2994816	10.589
1	Chr_01	3003671	10.589
1	Chr_01	3173685	10.589
1	Chr_01	3006944	10.589
1	Chr_01	3120135	10.589
1	Chr_01	2922287	10.589
1	Chr_01	3261938	10.589
1	Chr_01	3217979	10.589
1	Chr_01	3214647	10.589
1	Chr_01	3186691	10.589
1	Chr_01	2941373	11.765
1	Chr_01	3297368	12.942
1	Chr_01	3310913	14.118
1	Chr_01	3369922	14.118
1	Chr_01	3397295	14.118
1	Chr_01	3565387	14.118
1	Chr_01	3542104	14.118
1	Chr_01	3427270	14.118
1	Chr_01	3565644	14.118
1	Chr_01	3427556	14.118
1	Chr_01	3541327	14.118
1	Chr_01	3427751	14.118
1	Chr_01	3428310	14.118
1	Chr_01	3572847	14.118
1	Chr_01	3577241	14.118
1	Chr_01	3573468	14.118
1	Chr_01	3587471	14.118
1	Chr_01	3573042	14.118
1	Chr_01	3586958	14.118
1	Chr_01	3645136	15.295
1	Chr_01	3640930	15.295
1	Chr_01	3644914	15.295
1	Chr_01	3641289	15.295
1	Chr_01	3664487	15.295
1	Chr_01	3644712	15.295
1	Chr_01	3641553	15.295
1	Chr_01	3783375	15.295
1	Chr_01	3697892	15.295
1	Chr_01	3778110	15.295
1	Chr_01	3782963	15.295
1	Chr_01	3778304	15.295
1	Chr_01	3640737	15.295
1	Chr_01	3762391	15.295
1	Chr_01	3762712	15.295
1	Chr_01	3913356	16.471
1	Chr_01	3871299	16.471
1	Chr_01	3854556	16.471
1	Chr_01	3899793	16.471
1	Chr_01	3856015	16.471
1	Chr_01	3913995	16.471
1	Chr_01	3819684	16.471
1	Chr_01	3880601	16.471
1	Chr_01	3850985	16.471
1	Chr_01	3886155	16.471
1	Chr_01	3899584	16.471
1	Chr_01	3916271	16.471
1	Chr_01	3855030	16.471
1	Chr_01	3800951	16.471
1	Chr_01	3972730	16.471
1	Chr_01	3973721	16.471
1	Chr_01	3991820	16.471
1	Chr_01	3972975	16.471
1	Chr_01	3969623	16.471
1	Chr_01	3969437	16.471
1	Chr_01	4049987	17.648
1	Chr_01	4044007	18.824
1	Chr_01	4047856	18.824
1	Chr_01	4173050	20.001
1	Chr_01	4188771	20.001
1	Chr_01	4172848	20.001
1	Chr_01	4200034	20.001
1	Chr_01	4192625	20.001
1	Chr_01	4204340	20.001
1	Chr_01	4216873	20.001
1	Chr_01	4192349	20.001
1	Chr_01	4239986	22.382
1	Chr_01	4239785	22.382
1	Chr_01	4291023	22.382
1	Chr_01	4322229	22.382
1	Chr_01	4436480	22.382
1	Chr_01	4407904	23.559
1	Chr_01	4408337	23.559
1	Chr_01	4391025	23.559
1	Chr_01	4435966	23.559
1	Chr_01	4486992	24.735
1	Chr_01	4487161	24.735
1	Chr_01	4542539	25.912
1	Chr_01	4526638	25.912
1	Chr_01	4520337	25.912
1	Chr_01	4542383	25.912
1	Chr_01	4626424	25.912
1	Chr_01	4570562	25.912
1	Chr_01	4592461	25.912
1	Chr_01	4755076	27.088
1	Chr_01	5013204	27.088
1	Chr_01	4901026	27.088
1	Chr_01	4726296	27.088
1	Chr_01	4732871	27.088
1	Chr_01	5012732	27.088
1	Chr_01	4689055	27.088
1	Chr_01	4726461	27.088
1	Chr_01	4852395	27.088
1	Chr_01	4713073	27.088
1	Chr_01	5015463	27.088
1	Chr_01	4997071	27.088
1	Chr_01	5015120	27.088
1	Chr_01	5014551	27.088
1	Chr_01	5013758	27.088
1	Chr_01	5013592	27.088
1	Chr_01	5041310	27.088
1	Chr_01	5155469	27.088
1	Chr_01	5155688	27.088
1	Chr_01	5048589	27.088
1	Chr_01	5058500	27.088
1	Chr_01	5313414	27.088
1	Chr_01	5211942	28.265
1	Chr_01	5359355	28.265
1	Chr_01	5301799	28.265
1	Chr_01	5197079	29.442
1	Chr_01	5303745	29.442
1	Chr_01	5253799	29.442
1	Chr_01	5314798	29.442
1	Chr_01	5195625	29.442
1	Chr_01	5264460	29.442
1	Chr_01	5264699	29.442
1	Chr_01	5253476	29.442
1	Chr_01	5245445	29.442
1	Chr_01	5347762	29.442
1	Chr_01	5545789	29.442
1	Chr_01	5546874	29.442
1	Chr_01	5347459	29.442
1	Chr_01	5281507	29.442
1	Chr_01	5559502	29.442
1	Chr_01	5575308	29.442
1	Chr_01	5264128	29.442
1	Chr_01	5586593	30.618
1	Chr_01	6177500	31.795
1	Chr_08	16319438	31.795
1	Chr_01	5856120	31.795
1	Chr_01	5856698	31.795
1	Chr_01	6105906	31.795
1	Chr_01	5856272	31.795
1	Chr_01	6106060	31.795
1	Chr_01	6071445	31.795
1	Chr_08	16319699	31.795
1	Chr_01	6310538	32.971
1	Chr_01	6272946	32.971
1	Chr_01	6310717	32.971
1	Chr_01	6334884	34.148
1	Chr_01	6529706	34.148
1	Chr_01	6349332	34.148
1	Chr_01	6674386	34.148
1	Chr_01	6530403	34.148
1	Chr_01	6349534	34.148
1	Chr_01	6529528	34.148
1	Chr_01	6694178	34.148
1	Chr_01	6518547	34.148
1	Chr_01	6768093	34.148
1	Chr_01	6668086	34.148
1	Chr_01	6767889	34.148
1	Chr_01	6538508	34.148
1	Chr_01	6514551	34.148
1	Chr_01	6648153	34.148
1	Chr_01	6726000	34.148
1	Chr_01	6788584	34.148
1	Chr_01	6533889	34.148
1	Chr_01	6529201	34.148
1	Chr_01	6673897	34.148
1	Chr_01	6673458	34.148
1	Chr_01	6538100	34.148
1	Chr_01	6530203	34.148
1	Chr_01	6672935	34.148
1	Chr_01	6537599	34.148
1	Chr_01	6788422	34.148
1	Chr_01	6708120	34.148
1	Chr_01	6669555	34.148
1	Chr_01	8342462	34.148
1	Chr_01	8974497	34.148
1	Chr_01	8138473	34.148
1	Chr_01	8990594	34.148
1	Chr_01	7043988	34.148
1	Chr_01	8026156	34.148
1	Chr_01	8974824	34.148
1	Chr_01	11385749	34.148
1	Chr_01	7998239	34.148
1	Chr_01	8561303	34.148
1	Chr_01	8978310	34.148
1	Chr_01	11188941	34.148
1	Chr_01	8027478	34.148
1	Chr_01	6840826	34.148
1	Chr_01	8027705	34.148
1	Chr_01	8394359	34.148
1	Chr_01	8137763	34.148
1	Chr_01	8409019	34.148
1	Chr_01	11110316	34.148
1	Chr_01	7141672	34.148
1	Chr_01	8016802	34.148
1	Chr_01	7041015	34.148
1	Chr_01	7779183	34.148
1	Chr_01	8486678	34.148
1	Chr_01	11026530	34.148
1	Chr_01	6840612	34.148
1	Chr_01	6876750	34.148
1	Chr_01	8390947	34.148
1	Chr_01	11109180	34.148
1	Chr_01	8255365	34.148
1	Chr_01	11108651	34.148
1	Chr_01	8973265	34.148
1	Chr_01	10979864	34.148
1	Chr_01	7041543	34.148
1	Chr_01	7961867	34.148
1	Chr_01	7840460	34.148
1	Chr_01	11132471	34.148
1	Chr_01	8990432	34.148
1	Chr_01	10979598	34.148
1	Chr_01	8974986	34.148
1	Chr_01	10630097	34.148
1	Chr_01	8978498	34.148
1	Chr_01	7999195	34.148
1	Chr_01	11110539	34.148
1	Chr_01	7141965	34.148
1	Chr_01	7044206	34.148
1	Chr_01	8252651	34.148
1	Chr_01	7971538	34.148
1	Chr_01	8978015	34.148
1	Chr_01	8027324	34.148
1	Chr_01	7039807	34.148
1	Chr_01	8026713	34.148
1	Chr_01	7040796	34.148
1	Chr_01	7187248	34.148
1	Chr_01	7565580	34.148
1	Chr_01	10473261	34.148
1	Chr_01	6539567	34.148
1	Chr_01	7999919	34.148
1	Chr_01	7999705	34.148
1	Chr_01	8757868	34.148
1	Chr_01	6533728	34.148
1	Chr_01	7180649	34.148
1	Chr_01	11109019	34.148
1	Chr_01	8914992	34.148
1	Chr_01	11188777	34.148
1	Chr_01	6855704	34.148
1	Chr_01	8561010	34.148
1	Chr_01	6538358	34.148
1	Chr_01	11132288	34.148
1	Chr_01	6684646	34.148
1	Chr_01	8408858	34.148
1	Chr_01	10472991	34.148
1	Chr_01	7355010	34.148
1	Chr_01	11112159	34.148
2	Chr_02	329583	0
2	Chr_02	262489	0
2	Chr_02	196175	0
2	Chr_02	196938	0
2	Chr_02	280869	0
2	Chr_02	107206	0
2	Chr_02	281290	0
2	Chr_02	408238	0
2	Chr_02	383118	0
2	Chr_02	296653	0
2	Chr_02	116613	0
2	Chr_02	197607	0
2	Chr_02	78120	0
2	Chr_02	356486	0
2	Chr_02	245793	0
2	Chr_02	260162	0
2	Chr_02	260636	0
2	Chr_02	316061	0
2	Chr_02	88428	0
2	Chr_02	311284	0
2	Chr_02	319098	0
2	Chr_02	67981	0
2	Chr_02	353881	0
2	Chr_02	319553	0
2	Chr_02	328860	0
2	Chr_02	123007	0
2	Chr_02	408547	0
2	Chr_02	264994	0
2	Chr_02	245368	0
2	Chr_02	329429	0
2	Chr_02	316223	0
2	Chr_02	53771	0
2	Chr_02	193200	0
2	Chr_02	412211	0
2	Chr_02	243207	0
2	Chr_02	198220	0
2	Chr_02	53954	0
2	Chr_02	196592	0
2	Chr_02	316384	0
2	Chr_02	263630	0
2	Chr_02	422677	0
2	Chr_02	423271	0
2	Chr_02	464268	0
2	Chr_02	475247	0
2	Chr_02	472388	0
2	Chr_02	481786	0
2	Chr_02	475094	0
2	Chr_02	472211	0
2	Chr_02	464453	0
2	Chr_02	475445	0
2	Chr_02	465403	0
2	Chr_02	471680	0
2	Chr_02	493907	0
2	Chr_02	539335	0
2	Chr_02	496727	0
2	Chr_02	497366	0
2	Chr_02	539109	0
2	Chr_02	532908	0
2	Chr_02	494422	0
2	Chr_02	538828	0
2	Chr_02	494244	0
2	Chr_02	538399	0
2	Chr_02	564373	0
2	Chr_02	588521	0
2	Chr_02	675848	0
2	Chr_02	649465	0
2	Chr_02	581097	0
2	Chr_02	550416	0
2	Chr_02	670959	0
2	Chr_02	588196	0
2	Chr_02	681581	0
2	Chr_02	605857	0
2	Chr_02	707389	0
2	Chr_02	667958	0
2	Chr_02	591204	0
2	Chr_02	578422	0
2	Chr_02	668418	0
2	Chr_02	671124	0
2	Chr_02	676017	0
2	Chr_02	496484	0
2	Chr_02	772139	0
2	Chr_02	854998	0
2	Chr_02	760307	0
2	Chr_02	825639	0
2	Chr_02	750849	0
2	Chr_02	826000	0
2	Chr_02	805586	0
2	Chr_02	829158	0
2	Chr_02	819177	0
2	Chr_02	771445	0
2	Chr_02	792732	0
2	Chr_02	826347	0
2	Chr_02	846402	0
2	Chr_02	748557	0
2	Chr_02	850461	0
2	Chr_02	801511	0
2	Chr_02	759719	0
2	Chr_02	750503	0
2	Chr_02	819929	0
2	Chr_02	855154	0
2	Chr_02	819607	0
2	Chr_02	796663	0
2	Chr_02	840759	0
2	Chr_02	750695	0
2	Chr_02	822880	1.177
2	Chr_02	743335	1.177
2	Chr_02	884992	3.558
2	Chr_02	883833	3.558
2	Chr_02	883467	3.558
2	Chr_02	881742	3.558
2	Chr_02	918290	3.558
2	Chr_02	954797	3.558
2	Chr_02	931817	3.558
2	Chr_02	915387	3.558
2	Chr_02	933132	3.558
2	Chr_02	954630	3.558
2	Chr_02	953922	3.558
2	Chr_02	904243	3.558
2	Chr_02	932688	3.558
2	Chr_02	918626	3.558
2	Chr_02	1011342	3.558
2	Chr_02	1096457	3.558
2	Chr_02	1088880	3.558
2	Chr_02	1111040	3.558
2	Chr_02	1111364	3.558
2	Chr_02	975777	3.558
2	Chr_02	1108614	3.558
2	Chr_02	1145163	3.558
2	Chr_02	1159158	3.558
2	Chr_02	1183296	3.558
2	Chr_02	1159368	3.558
2	Chr_02	1212924	3.558
2	Chr_02	1203118	3.558
2	Chr_02	1173215	3.558
2	Chr_02	1213144	3.558
2	Chr_02	974796	3.558
2	Chr_02	1144927	3.558
2	Chr_02	1159733	3.558
2	Chr_02	1160373	3.558
2	Chr_02	1157552	3.558
2	Chr_02	1182853	3.558
2	Chr_02	1183129	3.558
2	Chr_02	1208273	3.558
2	Chr_02	1161424	4.734
2	Chr_02	1404998	4.734
2	Chr_02	1421970	5.911
2	Chr_02	1428779	5.911
2	Chr_02	1388834	5.911
2	Chr_02	1412673	5.911
2	Chr_02	1415965	5.911
2	Chr_02	1308526	5.911
2	Chr_02	1416772	5.911
2	Chr_02	1333704	5.911
2	Chr_02	1418755	5.911
2	Chr_02	1388665	5.911
2	Chr_02	1412854	5.911
2	Chr_02	1364861	5.911
2	Chr_02	1428937	5.911
2	Chr_02	1419132	5.911
2	Chr_02	1416527	5.911
2	Chr_02	1364676	5.911
2	Chr_02	1445332	5.911
2	Chr_02	1416371	5.911
2	Chr_02	1413028	5.911
2	Chr_02	1308758	5.911
2	Chr_02	1427061	5.911
2	Chr_02	1442187	7.088
2	Chr_02	1482180	7.088
2	Chr_02	1462298	7.088
2	Chr_02	1415798	7.088
2	Chr_02	1717269	7.088
2	Chr_02	1502242	8.264
2	Chr_02	1509957	8.264
2	Chr_02	1502040	8.264
2	Chr_02	1509702	8.264
2	Chr_02	1500788	8.264
2	Chr_02	1501243	8.264
2	Chr_02	1509510	8.264
2	Chr_02	1502707	8.264
2	Chr_02	1502432	8.264
2	Chr_02	1782066	8.264
2	Chr_02	1695004	8.264
2	Chr_02	1776978	8.264
2	Chr_02	1571190	8.264
2	Chr_02	1791619	8.264
2	Chr_02	1655573	8.264
2	Chr_02	1651970	8.264
2	Chr_02	1640753	8.264
2	Chr_02	1651808	8.264
2	Chr_02	1695397	8.264
2	Chr_02	1657723	8.264
2	Chr_02	1655353	8.264
2	Chr_02	1640596	8.264
2	Chr_02	1628091	8.264
2	Chr_02	1651652	8.264
2	Chr_02	1652169	8.264
2	Chr_02	1627821	8.264
2	Chr_02	1855547	9.441
2	Chr_02	1808065	9.441
2	Chr_02	1888330	9.441
2	Chr_02	1837029	9.441
2	Chr_02	1795750	9.441
2	Chr_02	1820783	9.441
2	Chr_02	1627551	9.441
2	Chr_02	1887868	9.441
2	Chr_02	1870910	9.441
2	Chr_02	1842522	9.441
2	Chr_02	1856324	9.441
2	Chr_02	1795108	9.441
2	Chr_02	2032677	9.441
2	Chr_02	1907095	9.441
2	Chr_02	2004776	9.441
2	Chr_02	1931827	9.441
2	Chr_02	1909375	9.441
2	Chr_02	1931593	9.441
2	Chr_02	2033150	9.441
2	Chr_02	2014174	9.441
2	Chr_02	2024568	9.441
2	Chr_02	1976973	9.441
2	Chr_02	2028379	9.441
2	Chr_02	2021966	9.441
2	Chr_02	2028533	10.617
2	Chr_02	2096181	14.233
2	Chr_02	2099056	14.233
2	Chr_02	2156214	15.41
2	Chr_02	2160672	15.41
2	Chr_02	2193463	15.41
2	Chr_02	2381575	15.41
2	Chr_02	2382005	15.41
2	Chr_02	2319603	15.41
2	Chr_02	2412872	16.586
2	Chr_02	2450865	16.586
2	Chr_02	2256600	16.586
2	Chr_02	2479208	16.586
2	Chr_02	2412674	16.586
2	Chr_02	2451381	16.586
2	Chr_02	2454689	16.586
2	Chr_02	2457495	16.586
2	Chr_02	2450596	16.586
2	Chr_02	2431119	16.586
2	Chr_02	2319760	16.586
2	Chr_02	2455288	16.586
2	Chr_02	2562888	16.586
2	Chr_02	2528344	16.586
2	Chr_02	2543792	16.586
2	Chr_02	2523682	16.586
2	Chr_02	2527738	16.586
2	Chr_02	2583880	16.586
2	Chr_02	2583622	16.586
2	Chr_02	2567689	16.586
2	Chr_02	2788242	17.763
2	Chr_02	2619861	17.763
2	Chr_02	2669754	17.763
2	Chr_02	2668492	17.763
2	Chr_02	2620175	17.763
2	Chr_02	2859035	17.763
2	Chr_02	3010090	17.763
2	Chr_02	2766783	17.763
2	Chr_02	2670194	17.763
2	Chr_02	2763565	17.763
2	Chr_02	2615791	17.763
2	Chr_02	2871724	17.763
2	Chr_02	2921065	17.763
2	Chr_02	3041596	17.763
2	Chr_02	2922910	17.763
2	Chr_02	2922575	17.763
2	Chr_02	2839473	17.763
2	Chr_02	2805640	17.763
2	Chr_02	3041419	17.763
2	Chr_02	2687230	17.763
2	Chr_02	2668649	17.763
2	Chr_02	2595400	17.763
2	Chr_02	2588501	17.763
2	Chr_02	3008124	17.763
2	Chr_02	3006795	17.763
2	Chr_02	2871429	17.763
2	Chr_02	3080576	17.763
2	Chr_02	3080191	17.763
2	Chr_02	3093127	17.763
2	Chr_02	3194592	18.939
2	Chr_02	3473252	18.939
2	Chr_02	3097791	18.939
2	Chr_02	3216560	18.939
2	Chr_02	3194441	18.939
2	Chr_02	3173388	18.939
2	Chr_02	3098193	18.939
2	Chr_02	3202792	18.939
2	Chr_02	3480577	20.116
2	Chr_02	3366189	20.116
2	Chr_02	3299885	20.116
2	Chr_02	3462891	20.116
2	Chr_02	3098029	20.116
2	Chr_02	3390020	20.116
2	Chr_02	3161440	20.116
2	Chr_02	3379702	20.116
2	Chr_02	3480856	20.116
2	Chr_02	3308717	20.116
2	Chr_02	3386023	20.116
2	Chr_02	3335052	20.116
2	Chr_02	3334801	20.116
2	Chr_02	3577324	20.116
2	Chr_02	3543668	20.116
2	Chr_02	3578729	20.116
2	Chr_02	3527790	20.116
2	Chr_02	3543476	20.116
2	Chr_02	3539135	20.116
2	Chr_02	3562734	20.116
2	Chr_02	3542925	20.116
2	Chr_02	3539612	20.116
2	Chr_02	3576787	20.116
2	Chr_02	3582705	20.116
2	Chr_02	3568923	20.116
2	Chr_02	3579336	21.292
2	Chr_02	3569337	21.292
2	Chr_02	3350331	21.292
2	Chr_02	3529399	21.292
2	Chr_02	3603309	21.292
2	Chr_02	3614167	21.292
2	Chr_02	3326252	21.292
2	Chr_02	3606979	21.292
2	Chr_02	3614411	21.292
2	Chr_02	3606709	21.292
